N,Page,ID,Name,Author,Description,Tags,Sensors
752,51,2320788,VAAD IOT,mwa0000031861461,VAAD CANAL DE PRUEBAS IOT,[],Unknown
753,51,3263909,DSB WIFI TI 237/3263909,mwa0000040439246,Nextcon LTDA,[],Unknown
754,51,3263908,DSB WIFI TI 236/3263908,mwa0000040439237,Nextcon LTDA,[],Unknown
755,51,3263906,DSB WIFI TI 236/3263906,mwa0000040439237,Nextcon LTDA,[],Unknown
756,51,3263904,DSB WIFI TI 236/3263904,mwa0000040439237,Nextcon LTDA,[],Unknown
757,51,3263903,DSB WIFI TI 236/3263903,mwa0000040439237,Nextcon LTDA,[],Unknown
758,51,3263902,DSB WIFI TI 235/3263902,mwa0000040439222,Nextcon LTDA,[],Unknown
759,51,3263901,DSB WIFI TI 235/3263901,mwa0000040439222,Nextcon LTDA,[],Unknown
760,51,3263900,DSB WIFI TI 235/3263900,mwa0000040439222,Nextcon LTDA,[],Unknown
761,51,2829732,Northwood School Wea...,mwa0000036746211,"Weather data is from a school-built station in Northwood NH. The station is equipped with a BME280 sensor, Argent  instruments, and Raspberry Pi 4 programmed in Python.",[],bme280
762,51,3073649,JU_DSP_FC,mwa0000037335953,It stores the SU informtion for various CSS based CR networks computed in and around JU.,[],Unknown
763,51,2828980,Channel 2828980,mwa0000036424686,Detect DC voltage,[],voltage
764,51,3244884,PM2.5,mwa0000040264849,,"['sydney', 'cbu', 'rockcliff', 'crescent']",Unknown
765,51,2723256,IOT Test by MCG,mwa0000035793782,IOT projects with ESP 32 microcontroller,[],Unknown
766,52,3263469,QRNG Secure Sensor Data,mwa0000034084267,Sensor data secured using QRNG-based hashing and signing (ESP8266),[],Unknown
767,52,3260063,cbu,mwa0000040316424,air quality,[],air quality
768,52,2823954,Temperatura y humedad.,mwa0000024231183,"Por medio de DHT11, DHT22 y BMP180, estación dentro de Eléctrica Electrónica de Instituto Tecnológico de Puebla.  contacto: proferomeod@gmail.com",[],"dht11, dht22, bmp180"
769,52,1238799,Casa al Mare,robyroby58,Temperatura Aria e umidità nella casa al mare,[],temp
770,52,3214547,demo,mwa0000039969628,,['cdmtemp'],temp
771,52,3263762,Smart energy consump...,mwa0000025585866,IOT,[],Unknown
772,52,3263672,IoT Lab ESP32 experi...,mwa0000040456191,kitty goes meow meow,[],Unknown
773,52,3263701,CAT1,mwa0000040456429,ambient sensor,[],Unknown
774,52,3263671,BASE PROJECT,mwa0000040289080,"Integrating CAN, Date and time, Server, WiFi",[],Unknown
775,52,3242047,FieldMonitor,FieldMonitor,Wetterstation mit DPTechnics Walter ESP32-S3 Board,[],Unknown
776,52,3209358,REDUCING EMERGENCY R...,mwa0000033701780,"Emergency medical services depend heavily on quick and efficient ambulance response to save lives during critical situations. However, in most urban areas, heavy traffic congestion
and slow manual traffic control systems create significant delays, preven",[],Unknown
777,52,3145420,moisture sensor,reddy6304025716,iot project using moisture sensor,[],moisture
778,52,3263452,Soil Moisture monito...,mwa0000038262483,Measurement of soil Moisture using sensors,[],"soil, moisture"
779,52,3263516,EXP 9,mwa0000034340821,UPLOADING DATA,[],Unknown
780,52,3263326,Hum & Tem,mwa0000030824700,Reading temperatue values and humidity values,[],"temp, humidity"
781,53,3263502,EXP-9,mwa0000034478558,DATA,[],Unknown
782,53,3263421,Capteur DHT CIEL,mwa0000040454706,Capteur de température et d'humidité,[],temp
783,53,3263275,ROBO CULTURE DASHBOARD,mwa0000040454446,Agriculture station,[],Unknown
784,53,3263480,exp9,mwa0000034446132,uploading,[],Unknown
785,53,3263478,EXP_9,mwa0000034333859,uploading data,[],Unknown
786,53,3263465,exp9,mwa0000034446166,uploading,[],Unknown
787,53,3263470,EXP 9,mwa0000034446137,UPLOADING DATA,[],Unknown
788,53,3263462,Weather Monitoring,mwa0000040455178,Measurement of weather using sensors,[],Unknown
789,53,3263415,exp 9,mwa0000034446171,uploading,[],Unknown
790,53,3263382,exp9,mwa0000034446145,uploading,[],Unknown
791,53,3263376,EXP 9,mwa0000034446178,Uploading Data,[],Unknown
792,53,3263353,Proyecto IoT 2mnt Ja...,mwa0000040454564,Recogida de datos de los sensores de temperatura,[],temp
793,53,3248989,Optativa,Olgagarciatruji,Clase de optativa,[],Unknown
794,53,3263349,exp9,mwa0000034353725,Reading temperature and humidity readings,[],"temperature, temp, humidity"
795,53,3263343,exp9,mwa0000034333720,humidity and temperature,[],"temperature, temp, humidity"
796,54,3263338,exp9,mwa0000034376916,reading temp&hum,[],temp
797,54,3263330,exp9,mwa0000034354317,reading temp and humidity values,[],"temp, humidity"
798,54,3263322,Exp9,mwa0000034354740,Reading temperature and humidity values,[],"temperature, temp, humidity"
799,54,3263339,exp-9,mwa0000034363320,Reading humidity and temperature values,[],"temperature, temp, humidity"
800,54,3263323,Humi&Temp,mwa0000034326445,reading temperature &humidity,[],"temperature, temp, humidity"
801,54,3263341,Exp 9,mwa0000034363228,Reading,[],Unknown
802,54,3263321,Hum & Tem,mwa0000034319327,...,[],Unknown
803,54,3263328,IOT EXP 9,mwa0000034326824,SENSORING TEMPERATURE AND HUMADITY VALUES.,[],"temperature, temp"
804,54,3263340,Exp9,mwa0000034327369,reading the humidity and temperature values,[],"temperature, temp, humidity"
805,54,3263342,exp 9,mwa0000034340185,reading temperature & humidity,[],"temperature, temp, humidity"
806,54,3263336,Humidity&temperature,mwa0000034319382,matlkab,[],Unknown
807,54,3263316,Capteur DHT CIEL,mwa0000040454794,Capteur de température et d'humidité,[],temp
808,54,3253826,Capteur DHT CIEL,mwa0000040386912,Capteur de température et d'humidité,[],temp
809,54,3253640,Capteur DHT,mwa0000040386323,Capteur de température et d'humidité,[],temp
810,54,80039,ESP_8266,yhnm00,home,[],Unknown
811,55,3263276,Capteur DHT CIEL,mwa0000034920352,Capteur de température et d'humidité,[],temp
812,55,3263271,Capteur DHT CIEL,mwa0000040454449,Capteur de température et d'humidité,[],temp
813,55,3253135,esp 32,mwa0000040384354,sensor reading,[],Unknown
814,55,3253258,嘘,mwa0000040384674,666,[],Unknown
815,55,3262764,exp9,mwa0000034392511,temperature and humidity,[],"temperature, temp, humidity"
816,55,3262607,Humidity Temperature...,mwa0000040453071,"In this tutorial, we will learn how to monitor humidity and temperature using the DHT11 sensor and NodeMCU ESP8266, and then upload the readings to the ThingSpeak cloud server. The DHT11 will be used to measure temperature and humidity, while ThingSpeak w",[],"temperature, temp, humidity, dht11"
817,55,3262719,dhtexp9,mwa0000034282492,calculation of  temperature and humidity,[],"temperature, temp, humidity"
818,55,3262694,exp9,mwa0000034318898,temperature and humidity data,[],"temperature, temp, humidity"
819,55,3262685,DHT11,mwa0000034260867,Temp and Hum reading,[],temp
820,55,3262672,dhtexp9,mwa0000034370544,calculation of temperature and humidity,[],"temperature, temp, humidity"
821,55,3262664,exp9,mwa0000034260870,temperature and humidity,[],"temperature, temp, humidity"
822,55,3262666,exp9,mwa0000034226530,temperature and humidity,[],"temperature, temp, humidity"
823,55,3262667,exp9,mwa0000034226523,calculation of temp and humidity,[],"temp, humidity"
824,55,3262669,Temp&Humi,mwa0000034491977,caluclate the temperature and humdity,[],"temperature, temp"
825,55,3262665,DHT,mwa0000034244578,Calculation of temperature and humidity,[],"temperature, temp, humidity"
826,56,3262668,EXPERIMENT 9,mwa0000034525487,calculation of temperature and humidity,[],"temperature, temp, humidity"
827,56,3262541,iotvv,mwa0000040452865,"dance, song ^.^",[],Unknown
828,56,3262534,iot01,mwa0000040452850,none stop,[],Unknown
829,56,3262559,IoT G02,mwa0000039978312,13 / 02,[],Unknown
830,56,3262511,Exp4,mwa0000036694515,Distance measurement,[],Unknown
831,56,3262514,Experiment 4,mwa0000040452724,something,[],Unknown
832,56,3262509,exp4,mwa0000040452724,woah,[],Unknown
833,56,3262507,ultrasonic,mwa0000036620814,..,[],Unknown
834,56,3239234,Granja IOT,mwa0000040256265,granja IoT Benedikta Zur NIeden,[],Unknown
835,56,3259830,Automated Laundry Ra...,mwa0000039687628,"This channel stores real-time sensor and system data for an automated laundry rack system.
The data is used to monitor rack movements",[],Unknown
836,56,2433113,Voltages,mwa0000018649137,Mailbox and Server Voltages,[],voltage
837,56,2818327,trial esp 8266,mwa0000036622234,24/1/25,[],Unknown
838,56,3262329,Monitoring Kelistrik...,heldha040903,Pemantauan perameter kelistrikan antar fasa pada kapal patroli bea cukai 60001,[],Unknown
839,56,3058769,Davi Leão  + João Ot...,arduinomanaus,"Experimento 03 - IoT e Novas Tecnologias
Turma: YXXXX",[],Unknown
840,56,3256508,SENSOR TEMPERATURA,mwa0000040409981,SENSOR DE TEMPERATURA Y HUMEDAD,[],temp
841,57,3262266,Temperature Sensor Data,mwa0000032614194,Data from a temperature sensor in degrees K,[],"temperature, temp"
842,57,2810701,Prototipo IoT Cultiv...,mwa0000036470478,"Diseño y desarrollo de un prototipo IoT destinado a monitorear los parámetros del agua de un cultivo multitrófico de Tilapia  y Langosta de Agua dulce, implementado en la Facultad de Ciencias Naturales de la Universidad de Guayaquil",[],Unknown
843,57,3255873,Python_Data,mwa0000040406190,Pythonista luettua dataa,[],Unknown
844,57,3258187,sensores,mwa0000040158310,proyecto,[],Unknown
845,57,3262245,LUz_microbit,mwa0000040449809,Este es un test de canal,[],Unknown
846,57,3262242,luz_microbit,mwa0000040449785,Test de canal,[],Unknown
847,57,206143,Savonjoen lämpötilat,makezzi,mökin datat,[],Unknown
848,57,2283292,Prueba1,ediloco321,Datos carga moto,[],Unknown
849,57,3262236,luz_microbit,mwa0000040449763,Monitor de luz IoT,[],Unknown
850,57,3262234,luz_microbit,mwa0000040449752,este es un test del canal,[],Unknown
851,57,3262231,Luz_microbit,mwa0000040449696,test de canal,[],Unknown
852,57,3262226,EDUCACONTMB,mwa0000040143959,Proyecto de monotorización de calidad del aire,[],Unknown
853,57,2987094,TICTACS Citizen Scie...,mwa0000037964017,"TICTACS - Tool for Investigating Closed Terrariums Assisted by Citizen Scientists

This project seeks to understand ecological dynamics through a low-cost distributed network of closed ecosystem monitoring suites.",[],Unknown
854,57,3262172,WILDLIFE SURVILENCE,mwa0000035571402,CIRCUITECH,[],Unknown
855,57,3262170,Energy Monitor Stati...,mwa0000039723444,Суточные метрики работы холодильника,[],Unknown
856,58,3175740,Schnauzer Mini Heat ...,electgpl,"Heat Index for Comfortable Weather Environment for Schnauzer Mini, based on the Tufts Animal Condition Care (TACC) scale.
Hardware: ESP32S3 - BMP280 - SHT31",[],bmp280
857,58,3262009,Attendance Analytics,mwa0000040273270,RFID Attendance System - Time IN/OUT/Register Monitoring,[],rfid
858,58,387801,Sensor Set 1 Downstairs,toinesiebelink67,Temperature Sensors Manifold,[],"temperature, temp"
859,58,3262102,AHT WIFI TI 235/3262102,mwa0000040439222,Nextcon LTDA,[],Unknown
860,58,3262096,AHT WIFI TI 234/3262096,mwa0000040439087,Nextcon LTDA,[],Unknown
861,58,3262069,bin notifier,mwa0000038163875,"prince hackathon ,  waste segregation, alert",[],Unknown
862,58,1828772,Estação meteorológic...,mwa0000027114602,"Instalada 12 jan 2023
Manutenção do sensor de precipitação (teias) no dia 8 de outubro de 2024",[],Unknown
863,58,3260008,Home_Temp,cj0310au,Home Temperature,[],"temperature, temp"
864,58,3084753,Temperature and Humi...,mwa0000038859613,IoT based temperature and humidity monitoring system using NodeMCU and DHT22 sensor. Data is uploaded to ThingSpeak and monitored through Telegram bot with alert system.,[],"temperature, temp, humidity, dht22"
865,58,3260082,Litime BMS,mwa0000040436454,140 AH LiFePo Akku Zustand,[],Unknown
866,58,3254827,Υγρασία - Ατμοσφαιρι...,mwa0000037184479,"Υγρασία εδάφους είναι η ποσότητα του νερού που είναι δεσμευμένη στους πόρους του εδάφους (μεταξύ των κόκκων του χώματος).
Η υπεριώδης ακτινοβολία (UV) έχει σημαντική επίδραση στις καλλιέργειες, λειτουργώντας τόσο ως παράγοντας στρες όσο και ως ρυθμιστής",[],Unknown
867,58,3261757,DHT 11,mwa0000040445265,Humidity and Temperature Server,[],"temperature, temp, humidity"
868,58,2850818,FAULT DETECTION,mwa0000035676419,fault diagnosis of induction motor,[],Unknown
869,58,3261710,TEMPERATURE MONITORING,mwa0000040444990,LM35 TEMPERATURE SENSOR,[],"temperature, temp"
870,58,3261562,"IOT PROJ ( 33 , 34 ,...",mwa0000036630128,Distance Using Ultrasonic,[],ultrasonic
871,59,3258350,AQi,mwa0000040424558,for measuring  level of air quality,[],air quality
872,59,3261348,"IOT PROJ ( 33 , 34 ,...",mwa0000036630128,"Distance using 
Ultrasonic",[],ultrasonic
873,59,1643205,Poids 1 / 2 / 3 / 4 ...,Daniel67,Test pour afficher des datas par Lionel,[],Unknown
874,59,3261308,Tem&Hum,mwa0000040444149,ESIOT,[],Unknown
875,59,3261143,Exp_4 Ultrasonic Sen...,mwa0000036630480,It displays the distance of the object from the ultrasonic sensor and displays the reading.,[],ultrasonic
876,59,3261259,exp8,mwa0000035846554,dht11,[],dht11
877,59,3261249,exp9,mwa0000035023769,esiot,[],Unknown
878,59,3261241,Tem&Hum,mwa0000035054722,Temperature and Humidity values are displayed,[],"temperature, temp, humidity"
879,59,3261233,Temp&Hum,mwa0000034505756,Temperature and humidity,[],"temperature, temp, humidity"
880,59,3261227,exp 4 grp 3,mwa0000036630178,oled distance monitor with graph included absolutely free,[],Unknown
881,59,2007543,HO6-Pompa Quide- CH ...,mwa0000024864411,HO6-Pompa  Guinea- CH 2007543,[],Unknown
882,59,3148778,Smart Bandage Server,mwa0000036640081,just for data upload of FYDP project,[],Unknown
883,59,1334856,API Meteored Duhau,Pampero4,,[],Unknown
884,59,2870197,DC_Assignment,mwa0000030541121,,[],Unknown
885,59,1271411,Beelogger Universal ...,mwa0000020057299,,[],Unknown
886,60,3268833,Channel 3268833,mwa0000040498654,,[],Unknown
887,60,2313782,ExperimentOZOREN,mwa0000031772142,,[],Unknown
888,60,3268766,W Channel ♥,mwa0000039653754,,[],Unknown
889,60,2037501,"MOTOR, LED and BUZZE...",mwa0000029215960,,[],Unknown
890,60,1460876,MQTT,vosarno,,[],Unknown
891,60,3264979,live gold prices,mwa0000040466581,,[],Unknown
892,60,3253255,666666,mwa0000040384770,,[],Unknown
893,60,3262256,Estació Meteorològica,mwa0000040450226,,[],Unknown
894,60,247718,ss,kusc00,,[],Unknown
895,60,2513689,Model Node 1,mwa0000033742813,,[],Unknown
896,60,1105742,Measurement and plot...,priyankaa13,,[],Unknown
897,60,326743,chelyabinsk,free0u,,[],Unknown
898,60,843358,Pi,kalmar17a,,[],Unknown
899,60,857281,UPS,kalmar17a,,[],Unknown
900,60,2609525,Node2,mwa0000034512686,,[],Unknown
901,61,326743,chelyabinsk,free0u,,[],Unknown
902,61,843358,Pi,kalmar17a,,[],Unknown
903,61,857281,UPS,kalmar17a,,[],Unknown
904,61,2609525,Node2,mwa0000034512686,,[],Unknown
905,61,2848679,Zadanie 1.4,mwa0000027380210,,[],Unknown
906,61,2609579,Node2,mwa0000034493220,,[],Unknown
907,61,2608521,node 1,mwa0000034511076,,[],Unknown
908,61,229632,Temperatura Grudziądz,lurym89,,[],Unknown
909,61,2608452,node 2,mwa0000034504308,,[],Unknown
910,61,1060527,Uusi,mwa0000018135078,,[],Unknown
911,61,2436604,Model 1,mwa0000029629506,,[],Unknown
912,61,2552414,Model Node 1 Data,mwa0000024953425,,[],Unknown
913,61,2436860,Node1,mwa0000033027145,,[],Unknown
914,61,2437182,Monitoring,mwa0000033032153,,[],Unknown
915,61,2514083,Node2,mwa0000033710070,,[],Unknown
916,62,2436604,Model 1,mwa0000029629506,,[],Unknown
917,62,2552414,Model Node 1 Data,mwa0000024953425,,[],Unknown
918,62,2436860,Node1,mwa0000033027145,,[],Unknown
919,62,2437182,Monitoring,mwa0000033032153,,[],Unknown
920,62,2514083,Node2,mwa0000033710070,,[],Unknown
921,62,2608075,node 1 channel,mwa0000034500132,,[],Unknown
922,62,1105738,Measurement and Plot...,pujithsai6699,,[],Unknown
923,62,2436851,Weather,mwa0000033008240,,[],Unknown
924,62,3122732,Dew Point Measurement,mwa0000035055834,,[],Unknown
925,62,2608485,Node 2,mwa0000034503395,,[],Unknown
926,62,2337223,AIRQO_G5300,airqodata02,,[],Unknown
927,62,2514275,Node 2,mwa0000033738782,,[],Unknown
928,62,2550129,Node 2 data,mwa0000022676297,,[],Unknown
929,62,2437141,Node 1,mwa0000033008249,,[],Unknown
930,62,2852158,Estacion metereologi...,mwa0000036953675,,[],Unknown
931,63,2437141,Node 1,mwa0000033008249,,[],Unknown
932,63,2852158,Estacion metereologi...,mwa0000036953675,,[],Unknown
933,63,2513482,Dew point measurement,mwa0000024818572,,[],Unknown
934,63,1951330,GNIEZNO - Zdziechowa...,mwa0000018555385,,[],Unknown
935,63,1951331,GNIEZNO - Zdziechowa...,mwa0000018555385,,[],Unknown
936,63,2608184,node 1,mwa0000034500338,,[],Unknown
937,63,2608208,Node 1,mwa0000034498010,,[],Unknown
938,63,2068639,ZOOLOGY-observer,ZoologyLH,,[],Unknown
939,63,2711768,C_晶創台江漁人場域,mwa0000029068820,,[],Unknown
940,63,1207114,B. Aneesh Reddy (18B...,mwa0000018991490,,[],Unknown
941,63,2513694,Dew Point Measurement,mwa0000033753826,,[],Unknown
942,63,1105739,Measurement and Plot...,maulishrib,,[],Unknown
943,63,574070,Koti,pietola,,[],Unknown
944,63,2511684,Node 1,mwa0000033707745,,[],Unknown
945,63,452935,opus,free0u,,[],Unknown
946,64,574070,Koti,pietola,,[],Unknown
947,64,2511684,Node 1,mwa0000033707745,,[],Unknown
948,64,452935,opus,free0u,,[],Unknown
949,64,368138,Ricampionato 10 minu...,agig66,,[],Unknown
950,64,688201,Ricampionato 10 minu...,agig66,,[],Unknown
951,64,2438587,model node2,mwa0000033026643,,[],Unknown
952,64,352993,Ricampionato 10 minu...,agig66,,[],Unknown
953,64,2513731,Node1,mwa0000033731163,,[],Unknown
954,64,2436793,Model Node 1 data,mwa0000033010223,,[],Unknown
955,64,3212174,test ws,vcherianTMW,,[],Unknown
956,64,1631190,Halmetie,mwa0000016893515,,[],Unknown
957,64,79164,Boiler flow temp,nostrebor,,[],Unknown
958,64,1649196,Dew Measurement,shubham2001,,[],Unknown
959,64,2434742,Weather Measurement,mwa0000032997148,,[],Unknown
960,64,2388762,Innen,mwa0000027452147,,[],Unknown
961,65,3212174,test ws,vcherianTMW,,[],Unknown
962,65,1631190,Halmetie,mwa0000016893515,,[],Unknown
963,65,79164,Boiler flow temp,nostrebor,,[],Unknown
964,65,1649196,Dew Measurement,shubham2001,,[],Unknown
965,65,2434742,Weather Measurement,mwa0000032997148,,[],Unknown
966,65,2388762,Innen,mwa0000027452147,,[],Unknown
967,65,2437776,Node-1,mwa0000033020283,,[],Unknown
968,65,1358221,Dew Point Measurement,mwa0000020213109,,[],Unknown
969,65,2436877,Node1,mwa0000033023083,,[],Unknown
970,65,1742447,Bienenwaage Q1_1,mwa0000026495573,,[],Unknown
971,65,2511325,Dew Measurement 2,vasanth459,,[],Unknown
972,65,2608122,Node 2,mwa0000022515669,,[],Unknown
973,65,2436949,Node 1,mwa0000033003728,,[],Unknown
974,65,1300845,Dew Point Measurement,mwa0000019099730,,[],Unknown
975,65,2649270,Environmental Dust a...,mwa0000034635577,,[],Unknown
976,66,1300845,Dew Point Measurement,mwa0000019099730,,[],Unknown
977,66,2649270,Environmental Dust a...,mwa0000034635577,,[],Unknown
978,66,2437108,Weather,mwa0000033004486,,[],Unknown
979,66,2513490,Model Node 1 data,mwa0000033742777,,[],Unknown
980,66,2511611,Test,mwa0000033708635,,[],Unknown
981,66,1444303,moxovich,mwa0000023104064,,[],Unknown
982,66,2554356,Model Node 2,mwa0000034048539,,[],Unknown
983,66,1951324,GNIEZNO - Gniezno #1...,mwa0000018555385,,[],Unknown
984,66,1951325,GNIEZNO - Gniezno #2...,mwa0000018555385,,[],Unknown
985,66,2174762,Dew Point Measurement,mwa0000030314487,,[],Unknown
986,66,2609534,Node 2,mwa0000034517877,,[],Unknown
987,66,2513664,Node 2,mwa0000033707745,,[],Unknown
988,66,2608076,node 2 channel,mwa0000034500132,,[],Unknown
989,66,2514971,Model Node 1,mwa0000024818572,,[],Unknown
990,66,2608228,Node 2,mwa0000034509768,,[],Unknown
991,67,2608228,Node 2,mwa0000034509768,,[],Unknown
992,67,3078841,Razak Dew Point Meas...,mwa0000038786666,,[],Unknown
993,67,1393084,Boiler and Buffer temp,phanna,,[],Unknown
994,67,2925325,Dev point,vyacheslav78,,[],Unknown
995,67,2636173,A_漢神國際_彌陀場域1,mwa0000029068820,,[],Unknown
996,67,2815696,Laboratory,mwa0000036591229,,[],Unknown
997,67,613853,Dew Point Measurement,studentnike,,[],Unknown
998,67,1241658,API Meteored Trenque...,Pampero3,,[],Unknown
999,67,1265953,Dew Point Measurement,mwa0000020686946,,[],Unknown
1000,67,2607031,Dew Measurement,mwa0000020800823,,[],Unknown
1001,67,1031621,Dew point measurement,mwa0000017411845,,[],Unknown
1002,67,2510835,Dew Point Measurement,mwa0000033711543,,[],Unknown
1003,67,2513665,NODE2,mwa0000033742157,,[],Unknown
1004,67,1656904,ProudVsen,cen123,,[],Unknown
1005,67,2553443,Model Node 1 Data,mwa0000034002803,,[],Unknown
1006,68,2510835,Dew Point Measurement,mwa0000033711543,,[],Unknown
1007,68,2513665,NODE2,mwa0000033742157,,[],Unknown
1008,68,1656904,ProudVsen,cen123,,[],Unknown
1009,68,2553443,Model Node 1 Data,mwa0000034002803,,[],Unknown
1010,68,2514418,Node 2,mwa0000033747159,,[],Unknown
1011,68,2032147,First try,mwa0000020195676,,[],Unknown
1012,68,1073230,Mökin sisäilmankoste...,mwa0000017462533,,[],Unknown
1013,68,2434719,Temperature_Measurement,mwa0000032990953,,[],Unknown
1014,68,1680623,Dew Point Measurement,mwa0000019551333,,[],Unknown
1015,68,2436862,Node 1,mwa0000032986358,,[],Unknown
1016,68,2512203,Node 2,mwa0000033733819,,[],Unknown
1017,68,2848661,Dew Point Calculation,mwa0000027380210,,[],Unknown
1018,68,2514121,Node 1,mwa0000033711591,,[],Unknown
1019,68,1681359,Dew Point Measurement,mwa0000024023314,,[],Unknown
1020,68,2851853,Air Quality in Germany,mwa0000025587245,,[],Unknown
1021,69,2848661,Dew Point Calculation,mwa0000027380210,,[],Unknown
1022,69,2514121,Node 1,mwa0000033711591,,[],Unknown
1023,69,1681359,Dew Point Measurement,mwa0000024023314,,[],Unknown
1024,69,2851853,Air Quality in Germany,mwa0000025587245,,[],Unknown
1025,69,2608459,Node2,mwa0000034502569,,[],Unknown
1026,69,2084561,AirQo-G5145,airqodata02,,[],Unknown
1027,69,2627608,Dew Point Measurement,mwa0000034675032,,[],Unknown
1028,69,1086579,Dew Point Measurement,chhavi321,,[],Unknown
1029,69,538670,columbus,free0u,,[],Unknown
1030,69,2608464,node 2,mwa0000034500499,,[],Unknown
1031,69,2327775,Dew Point Measurement,mwa0000028705456,,[],Unknown
1032,69,2436601,Node 1,mwa0000033026464,,[],Unknown
1033,69,1798549,Wind &Solar Power Test,mwa0000019065934,,[],Unknown
1034,69,2437118,Node2,mwa0000033015384,,[],Unknown
1035,69,1676687,AQI and Dew Point Te...,mwa0000022632550,,[],Unknown
1036,70,2514974,Model Node 2,mwa0000024818572,,[],Unknown
1037,70,2609528,Node 1,mwa0000034517877,,[],Unknown
1038,70,2435356,Model   Node 1 Data,mwa0000025711165,,[],Unknown
1039,70,2608188,Node 2,mwa0000034500338,,[],Unknown
1040,70,1036315,Dew Point Measurement,mwa0000017032531,,[],Unknown
1041,70,2437127,Modal Data 1,mwa0000033008991,,[],Unknown
1042,70,1358190,Dew Point Measurement,mwa0000020239882,,[],Unknown
1043,70,2438583,Node 1.0,mwa0000032991167,,[],Unknown
1044,70,1193715,Dew Point Measurement,mwa0000020022001,,[],Unknown
1045,70,2608124,Node 1,mwa0000034500090,,[],Unknown
1046,70,2436854,Node 1,mwa0000033008312,,[],Unknown
1047,70,1648939,Exp 2,tejaswinidesai23,,[],Unknown
1048,70,2436824,Weather Data,mwa0000032968955,,[],Unknown
1049,70,583385,Hämäläistentie ulkol...,toroti,,[],Unknown
1050,70,1305835,Dew Point Measurement,mwa0000019985620,,[],Unknown
1051,71,583385,Hämäläistentie ulkol...,toroti,,[],Unknown
1052,71,1305835,Dew Point Measurement,mwa0000019985620,,[],Unknown
1053,71,2407585,Water station,mwa0000030003816,,[],Unknown
1054,71,2608591,node 1,mwa0000034501232,,[],Unknown
1055,71,2514453,node 1,mwa0000033729847,,[],Unknown
1056,71,2055346,wind and solar power...,mwa0000019059637,,[],Unknown
1057,71,2513468,Dew Point Measurement,mwa0000033710070,,[],Unknown
1058,71,2101095,Dew Point Measurement,mwa0000029817882,,[],Unknown
1059,71,2451894,Battery Monitoring S...,mwa0000033026643,,[],Unknown
1060,71,403114,Test,rgruber,,[],Unknown
1061,71,2608862,node 2,mwa0000034502893,,[],Unknown
1062,71,2608871,NODE 1,mwa0000034492500,,[],Unknown
1063,71,2510721,Dew point measurement,mwa0000033712023,,[],Unknown
1064,71,1535528,TČ posledních 10h,mwa0000021525572,,[],Unknown
1065,71,2437247,Node 1 & Node 2,mwa0000033014473,,[],Unknown
1066,72,2608871,NODE 1,mwa0000034492500,,[],Unknown
1067,72,2510721,Dew point measurement,mwa0000033712023,,[],Unknown
1068,72,1535528,TČ posledních 10h,mwa0000021525572,,[],Unknown
1069,72,2437247,Node 1 & Node 2,mwa0000033014473,,[],Unknown
1070,72,2608175,Node 2,mwa0000034501766,,[],Unknown
1071,72,1976169,Dew Measurement,mwa0000018642776,,[],Unknown
1072,72,2610839,Node 2,mwa0000034508982,,[],Unknown
1073,72,2537061,EIAQI,mwa0000024028930,,[],Unknown
1074,72,2512734,Node2,mwa0000033710693,,[],Unknown
1075,72,876544,Dew Point Measurment,hugo1112,,[],Unknown
1076,72,2514346,Node1,mwa0000033729745,,[],Unknown
1077,72,2449123,Battery Monitoring,mwa0000032995984,,[],Unknown
1078,72,2084593,AirQo-G5161,airqodata02,,[],Unknown
1079,72,2514449,Node1,mwa0000033734120,,[],Unknown
1080,72,684035,Mittarit,riihesam,,[],Unknown
1081,73,2900877,Dew Point Measurement,mwa0000037399740,,[],Unknown
1082,73,2337226,AIRQO_G5301,airqodata02,,[],Unknown
1083,73,2608445,node 1,mwa0000034504308,,[],Unknown
1084,73,1105757,measurement and plot...,mwa0000018991471,,[],Unknown
1085,73,2879696,Eason_Chris_Adit_Pla...,mwa0000026657249,,[],Unknown
1086,73,2437143,Weather,mwa0000033032022,,[],Unknown
1087,73,2512159,Assignment 1,mwa0000033707775,,[],Unknown
1088,73,2512172,Node1,mwa0000033733819,,[],Unknown
1089,73,2437682,Node 1,mwa0000033008229,,[],Unknown
1090,73,2608153,Node 2,mwa0000034500090,,[],Unknown
1091,73,2465060,Ev power measurement...,mwa0000021610133,,[],Unknown
1092,73,2608166,Node 2,mwa0000034497506,,[],Unknown
1093,73,2608869,Node 2,mwa0000034500650,,[],Unknown
1094,73,2510949,Dew Point Measurement,mwa0000033709144,,[],Unknown
1095,73,1925261,Lämpötila ja ilmanko...,mwa0000028244928,,[],Unknown
1096,74,2608869,Node 2,mwa0000034500650,,[],Unknown
1097,74,2510949,Dew Point Measurement,mwa0000033709144,,[],Unknown
1098,74,1925261,Lämpötila ja ilmanko...,mwa0000028244928,,[],Unknown
1099,74,2943030,Practica 3,mwa0000037001680,,[],Unknown
1100,74,2514550,AquaLink,mwa0000033729801,,[],Unknown
1101,74,2373534,ESP32 HygroTemp SUMMARY,mwa0000032370391,,[],Unknown
1102,74,1676523,Dew Point Measurement,mwa0000023780110,,[],Unknown
1103,74,2555412,Model Node 2,mwa0000034055483,,[],Unknown
1104,74,2513562,Node 2,mwa0000019139600,,[],Unknown
